Products,Exporter name,Quantity (Lakhs),Location,State,Latitude,Longitude,Gmap link,Distance(in km),,
RUBBER MATS,NIVENIA INTERNATIONAL,2.45792,Thycattussery,Kerala,9.771621463,76.34408908,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.771621462948614,+76.34408907581279/@9.8623774,76.2319481,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3440891!2d9.7716215?entry=ttu",26.3,,
LATEX RUBBER,NJAVALLIL LATEX P.LTD.,2.16231,"Palarivattom,Kochi",Kerala,10.00516937,76.31089953,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.00516936737266,+76.31089953435749/@9.966932,76.2518473,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3108995!2d10.0051694?entry=ttu",15.8,,
RUBBER MATS,NOCHUMANNIL RUBBER INDUSTRIES,1.8464,Pogamthanam,Kerala,9.49851389,76.56762067,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.49851389005962,+76.56762066748789/@9.725493,76.2611621,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5676207!2d9.4985139?entry=ttu",78,,
ELECTRICAL ITEMS,NORATEL INDIA POWER COMPONENTS P.LTD.,2.70817,"Technopark,Kazhakootam",Kerala,8.560328466,76.87966703,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/8.560328465692937,+76.87966702803618/@9.2951043,75.9288639,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.879667!2d8.5603285?entry=ttu",193,,
MACHINERIES,NOVA ENGINEERING,7.25655,Chitilapilly,Kerala,10.56279602,76.16053692,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.562701077958561,+76.16019739083812/@10.2463979,75.9431054,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.1601974!2d10.5627011?entry=ttu",95.6,,
FISH OIL,NPM AQUATIC FISH LINKS P.LTD.,21.06531,Kunamkulam,Kerala,10.71642981,76.13270882,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.71642981004847,+76.13270881722725/@10.3225969,75.8742794,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.1327088!2d10.7164298?entry=ttu",186,,
HOUSEHOLD ARTICLES,NRP EXPORTS,2.27349,Karur,Tamil Nadu,10.97335673,78.07781733,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.973314595447153,+78.07743109573084/@10.6299881,76.48406,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d78.0774311!2d10.9733146?entry=ttu",314,,
MACHINERIES,NUCOMET ENTERPRISES,1.17031,"Edapally,Ernakulam",Kerala,10.02479911,76.32004557,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/10.02479911258224,+76.32004556990937/@9.9798071,76.2530166,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3200456!2d10.0247991?entry=ttu",18.3,,
TAPIOCA,OASIS EXPORTERS,7.24964,Trivandrum,Kerala,8.47905167,76.92122207,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/8.479051669523981,+76.92122207298006/@9.2126313,75.9402328,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9212221!2d8.4790517?entry=ttu",208,,
FROZEN YELLOW TUNA,OCEAN WEALTH EXPORTS,23.70411,Ezhupunna,Kerala,9.81440729,76.3182927,"https://www.google.com/maps/dir/Cochin+Port,+Willingdon+Island,+Kochi,+Kerala/9.814661013963738,+76.31889351845156/@9.8844454,76.2108814,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3188935!2d9.814661?entry=ttu",18.4,,
BAGS,PACCAI BAG FACTORY,1.01335,Azhagiapandipuram,Tamil Nadu,8.305946804,77.43956763,"https://www.google.com/maps/dir/8.306854496270313,+77.43949788835022/Willingdon+Island,+Kochi,+Kerala+682003/@9.1315392,76.1929717,9z/data=!3m1!4b1!4m11!4m10!1m3!2m2!1d77.4394979!2d8.3068545!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!5m1!1e1?entry=ttu",277,,
COTTON YARN,PALLAVA TEXTILES P.LTD.,43.14835,Mangarangampalayam,Tamil Nadu,11.45198027,77.79224739,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.45152159191948,+77.792621789894/@10.6923372,76.3732272,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.7926218!2d11.4515216!5m1!1e1?entry=ttu",307,,
RUBBER MATS,PALM FIBRE(INDIA)P.LTD.,69.48222,Alappuzha,Kerala,9.556585926,76.32836484,"https://www.google.com/maps/dir/10.0070517,76.3058324/Palm+Fibre+(India)+Private+Limited,+NH+47,+Ward+13,+Alappuzha,+Kerala+688522/@9.5613284,76.3219864,15.56z/data=!4m9!4m8!1m1!4e1!1m5!1m1!1s0x3b08868df77c66cd:0xb27297e59798e85b!2m2!1d76.3283696!2d9.556683?entry=ttu",53.1,,
RICE,PANDIKKAD TRADERS,62.00472,Malappuram,Kerala,11.09484774,76.21852961,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.094847736067656,+76.2185296076415/@10.5130378,75.5437831,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2185296!2d11.0948477!5m1!1e1?entry=ttu",165,,
RICE,PAN-TUS FOOD PROCESSING&EXPORTS P.LTD.,10.88253,Nedumbassery,Kerala,10.16379754,76.38167113,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.16392426752041,+76.38234704359472/@10.0196021,76.2770355,11.48z/data=!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.382347!2d10.1639243!5m1!1e1?entry=ttu",38.6,,
CHAPPALS,PARAGON POLYMER PRODUCTS,1.0775,"Chungam,Kottayam",Kerala,9.59478216,76.51883725,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.594782159720246,+76.51883725147201/@9.7909433,76.2419502,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5188373!2d9.5947822!5m1!1e1?entry=ttu",63.5,,
FROZEN YELLOW TUNA,PARAGON SEAFOODS,1.903,"Palluruthy,Kochi",Kerala,9.926642237,76.27517775,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.926504850463438,+76.27495244788565/@9.9409106,76.2581673,15z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2749524!2d9.9265049!5m1!1e1?entry=ttu",4.2,,
FROZEN YELLOW TUNA,PARAMOUNT SEAFOODS,6.0847,"Thoppumpady,Kochi",Kerala,9.933629679,76.26166252,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.933629678914832,+76.26166251857464/@9.9436091,76.2559616,15z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2616625!2d9.9336297!5m1!1e1?entry=ttu",3.4,,
TAPIOCA CHIPS,PARAYIL EXPORTS,19.99789,"Vezhanganam rd ,Kottayam",Kerala,9.729945506,76.73506096,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.739677230508716,+76.7271287611128/@9.8452146,76.3327031,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.7271288!2d9.7396772!5m1!1e1?entry=ttu",72.3,,
RICE,PARAYIL FOOD PRODUCTS P.LTD.,53.03099,"Aroor,Kochi",Kerala,9.885604248,76.2972312,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.885604247688017,+76.29723120146735/@9.9200543,76.2422409,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2972312!2d9.8856042!5m1!1e1?entry=ttu",9.8,,
TEA,PARISONS ESTATE&INDUS.P.LTD.,2.58101,Kozhikode,Kerala,11.253795,75.7725805,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.253795002624486,+75.77258049840246/@10.5921091,75.4177315,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d75.7725805!2d11.253795!5m1!1e1?entry=ttu",183,,
TEA,PARISONS FOODS PVT LTD,3.64174,Kozhikode,Kerala,11.25747642,75.77602083,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.257476415515557,+75.776020832/@10.2677663,75.8308305,10.04z/data=!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d75.7760208!2d11.2574764!5m1!1e1?entry=ttu",183,,
MAIDA,PARISONS ROLLER FLOUR MILLS (P) LTD.,27.73543,Kozhikode ,Kerala,11.29323561,75.7642646,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.293235605511763,+75.76426459756505/@10.6115049,75.4147117,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d75.7642646!2d11.2932356!5m1!1e1?entry=ttu",188,,
TEA,PARRY AGRO INDUSTRIES LTD.,10.18746,kochi ,Kerala,9.965389712,76.26680563,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.965372068431936,+76.26680562739772/@9.959818,76.262286,16z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2668056!2d9.9653721!5m1!1e1?entry=ttu",1.5,,
GINGELLY OIL,PAZHANGADI OIL MILLS,3.17836,Kunnatunad,Kerala,10.10023044,76.43417616,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.100230439097698,+76.43417615520715/@10.0144534,76.2725963,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4341762!2d10.1002304!5m1!1e1?entry=ttu",37.1,,
CARBON BLACK,PCBL LIMITED,34.60756,"Karimugal,Kochi",Kerala,9.99198157,76.39799778,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.99198156997355,+76.39799778039077/@9.9604467,76.2906718,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3979978!2d9.9919816!5m1!1e1?entry=ttu",20.7,,
FROZEN SQUID,PEARL COAST MARINE FOODS,6.4919,"Chandiroor,Kochi",Kerala,9.843273856,76.30881094,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.843305569030786,+76.30881629998623/@9.8991159,76.2517541,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3088163!2d9.8433056!5m1!1e1?entry=ttu",14.5,,
MAIDA,PEEKAY ROLLER FLOUR MILLS,8.97459,"Puthiyangadi,Kozhikode",Kerala,11.30119182,75.7623859,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.301191816276063,+75.7623859000446/@10.6153422,75.4136286,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d75.7623859!2d11.3011918!5m1!1e1?entry=ttu",189,,
VALVES,PEEKAY STEEL CASTING LTD.,29.01963,"Nallalam,Kozhikode",Kerala,11.20736146,75.81011874,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.207340409122072,+75.80995780739046/@10.5686518,75.4373626,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d75.8099578!2d11.2073404!5m1!1e1?entry=ttu",175,,
TURMERIC,PEERMADE DEVELOPMENT SOCIETY,2.42974,Peermade,Kerala,9.57281887,76.99507885,"https://www.google.com/maps/dir/10.0070517,76.3058324/Peermade+Development+Society,+Peermade,+Kerala+685531/@9.5727488,76.9955231,16.72z/data=!4m9!4m8!1m1!4e1!1m5!1m1!1s0x3b064de44455b9d5:0xb1ec24aea2e0dcf5!2m2!1d76.9950789!2d9.5728214?entry=ttu",125,,
BUILDING MATERIALS,PEGADO FIXING SOLUTIONS,4.35258,Vattomkulam,Kerala,10.81439071,76.02861558,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.814391366082617,+76.02865915876735/@10.3741372,75.8271079,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.0286592!2d10.8143914!5m1!1e1?entry=ttu",131,,
FOOD STUFFS,PENTADILMUN P.LTD.,1.10026,"Vytilla ,ernakulam",Kerala,9.98148388,76.31715981,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.981478596679851,+76.31722418351873/@9.9553915,76.2724904,14z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3172242!2d9.9814786!5m1!1e1?entry=ttu",13.4,,
FROZEN SQUID,PENVER PRODUCTS P.LTD.,22.16005,"Aroor,Kochi",Kerala,9.884796538,76.29914601,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.884796538309164,+76.29914601436423/@9.9198934,76.2422409,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.299146!2d9.8847965!5m1!1e1?entry=ttu",9.7,,
GREEN COFFEE,PERFETTO NATURALS,2.304,Panamaram,Kerala,11.76030368,76.08924103,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.760303679854168,+76.08924103438552/@10.7433736,75.2604073,8.74z/data=!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.089241!2d11.7603037!5m1!1e1?entry=ttu",269,,
RUBBER MATS,PERINCHERRIL RUBBERS,1.42866,Poovanthuruthu,Kerala,9.551542762,76.53006946,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.551542762242187,+76.53006946326414/@9.7500949,76.2339083,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5300695!2d9.5515428!5m1!1e1?entry=ttu",68,,
RICE,PERUMPANKUZHIYIL EXPORTS,2.18308,Kumarapuram ,Kerala,9.271403164,76.46011724,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.271403164444292,+76.46011724385053/@9.6212699,76.0352319,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4601172!2d9.2714032!5m1!1e1?entry=ttu",88.6,,
CARBON BLACK,PHILLIPS CARBON BLACK LTD.,11.56232,"Karimugal,Kochi",Kerala,9.99198157,76.39799778,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.99198156997355,+76.39799778039077/@9.9604467,76.2906718,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3979978!2d9.9919816!5m1!1e1?entry=ttu",20.7,,
RICE,PHOENIX EXPORTS,8.08825,Kochi,Kerala,9.939604574,76.32604416,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.939710251605899,+76.3260441562139/@9.9421395,76.275413,14z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3260442!2d9.9397103!5m1!1e1?entry=ttu",8.8,,
COIR FIBER,PILLAN FIBER,6.722,Kovilpalayam,Tamil Nadu,10.73338474,77.03351541,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.733384735462904,+77.0335154085012/@10.4167144,76.315746,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d77.0335154!2d10.7333847!5m1!1e1?entry=ttu",187,,
RICE,PITCO FOODS P.LTD.,6.39242,Wayanad,Kerala,11.66048735,76.24323026,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.660487348455037,+76.24323026319773/@10.7963833,75.426034,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2432303!2d11.6604873!5m1!1e1?entry=ttu",270,,
TURMERIC POWDER,PLANT LIPIDS  LTD.,63.54647,Kolenchery ,Kerala,9.999427366,76.45497462,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.999427366172222,+76.45497462387074/@9.9679777,76.3201178,13z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m5!1m1!1s0x0:0xc59eb8b615a99c0a!2m2!1d76.4549746!2d9.9994274!5m1!1e1?entry=ttu",27.8,,
TURMERIC,PLANTRICH AGRI TECH P.LTD.,11.36246,Manarcadu P.O,Kerala,9.609197989,76.57779041,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.609197989138694,+76.5777904067612/@9.7822998,76.25766,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5777904!2d9.609198!5m1!1e1?entry=ttu",64.3,,
COCONUTS,PMM EXIM,1.996,Thiruchirapally,Tamil Nadu,10.78503077,78.70525045,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.785188858378627,+78.70554012643125/@10.6299881,76.7966673,9z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d78.7055401!2d10.7851889!5m1!1e1?entry=ttu",367,,
TEA,POABS ENTERPRISES,3.5344,Tiruvalla,Kerala,9.357819598,76.57399031,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.357438500051476,+76.57390448125987/@9.6506422,76.0976217,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5739045!2d9.3574385!5m1!1e1?entry=ttu",98.1,,
TEA,POABS ORGANIC PRODUCTS P.LTD.,1.23455,Tiruvalla,Kerala,9.354887972,76.58851555,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.354887971552527,+76.58851555353017/@9.6552498,76.0989723,10z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.5885156!2d9.354888!5m1!1e1?entry=ttu",99,,
RUBBER MATS,POBJI EMPORIUM,16.0698,"Kalavoor,Alappuzha",Kerala,9.587425487,76.32903053,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.587425486557231,+76.32903052583218/@9.7777278,76.1279498,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3290305!2d9.5874255!5m1!1e1?entry=ttu",44.2,,
FOOD STUFFS,POOJA TRADING COMPANY,7.61928,Aluva,Kerala,10.08555033,76.41872073,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.08555033053344,+76.41872073238567/@10.0207977,76.260692,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4187207!2d10.0855503!5m1!1e1?entry=ttu",34.1,,
RUBBER MATS,POOPPALLY COIR MILLS,18.47814,"Thumpoly,Alapuzha",Kerala,9.520014967,76.32788698,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.520014966830658,+76.32788698307839/@9.7443827,76.1386488,11z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.327887!2d9.520015!5m1!1e1?entry=ttu",51.6,,
RICE,POPULAR FOOD PRODUCTS,3.5515,"Kalady,Ernakulam",Kerala,10.15051226,76.45234287,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.150512255034972,+76.4523428671346/@10.0473244,76.2890977,12z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.4523429!2d10.1505123!5m1!1e1?entry=ttu",45.6,,
CANDLE WAX,POPULAR INDUSTRIES,2.02832,Ernakulam,Kerala,10.02487806,76.31616149,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.024865006576382,+76.31618358499469/@9.9766642,76.2518473,13z/data=!3m1!4b1!4m11!4m10!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3161836!2d10.024865!5m1!1e1?entry=ttu",18.4,,
FROZEN SQUID,POYILAKADA FISHERIES,2.264,"Asraman,Kollam",Kerala,8.890489532,76.58649919,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.890509326913348,+76.58643622381928/@9.4223914,75.7663386,9z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m5!1m1!1s0x0:0x9fdbef72f7643875!2m2!1d76.5864071!2d8.890476!3e0!5m1!1e1?entry=ttu",137,,
COCONUTS,PRAKASAM INDUSTRIES,1.4085,Palathaol,Kerala,10.89950031,76.23822819,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/10.896803267410288,+76.24372135258737/@10.4255401,75.8742794,10z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.2437214!2d10.8968033!3e0!5m1!1e1?entry=ttu",142,,
CASHEW KERNELS,PRASANTHI CASHEW CO.,6.22251,Mangad,Kerala,8.914020902,76.61923451,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/8.913971563615886,+76.6192095412862/@9.4344828,75.8092732,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.6192095!2d8.9139716!3e0!5m1!1e1?entry=ttu",138,,
COTTON GOODS,PRATHISHTA WVG. & KNITTING CO. (P) LTD.,2.11551,Coimbatore,Tamil Nadu,11.10484102,76.95246132,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/11.105577977900289,+76.95250423656182/@10.5188629,75.9488749,9z/data=!3m1!4b1!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.9525042!2d11.105578!3e0!5m1!1e1?entry=ttu",202,,
FROZEN YELLOW TUNA,PRAYAG EXPORTS,8.21,Cherthala,Kerala,9.836916362,76.30971213,"https://www.google.com/maps/dir/Willingdon+Island,+Kochi,+Kerala+682003/9.836704940300644,+76.31001253379165/@9.8781637,76.136263,11.44z/data=!4m12!4m11!1m5!1m1!1s0x3b086d595c8ae7bd:0x417a773c5c709a9d!2m2!1d76.2678251!2d9.9546345!1m3!2m2!1d76.3100125!2d9.8367049!3e0!5m1!1e1?entry=ttu",15.8,,
